date,Name,uint32__upTime
2024-02-12 16:33:17.550446,OBC_0,32.0
2024-02-12 16:32:35.840612,OBC_0,32.0
2024-02-12 16:34:18.566742,OBC_0,62.0
2024-02-12 16:34:18.860363,OBC_0,62.0
2024-02-12 16:34:19.174272,OBC_0,62.0
2024-02-12 16:34:23.091604,OBC_0,62.0
2024-02-12 16:34:23.375922,OBC_0,62.0
2024-02-12 16:34:23.668383,OBC_0,62.0
2024-02-12 16:34:25.998469,OBC_0,32.0
2024-02-12 16:34:26.290003,OBC_0,32.0
2024-02-12 16:34:26.585579,OBC_0,32.0
2024-02-12 16:34:33.712123,OBC_0,62.0
2024-02-12 16:34:33.993348,OBC_0,62.0
2024-02-12 16:34:34.250145,OBC_0,62.0
2024-02-12 16:34:47.137659,OBC_0,152.0
2024-02-12 16:34:47.437207,OBC_0,152.0
2024-02-12 16:34:47.719304,OBC_0,152.0
2024-02-12 16:38:49.271377,OBC_0,62.0
2024-02-12 16:38:49.553786,OBC_0,62.0
2024-02-12 16:38:49.827881,OBC_0,62.0
2024-02-12 16:38:52.500696,OBC_0,32.0
2024-02-12 16:38:52.790424,OBC_0,32.0
2024-02-12 16:38:53.063982,OBC_0,32.0
2024-02-12 16:39:01.249529,OBC_0,92.0
2024-02-12 16:39:01.498845,OBC_0,92.0
2024-02-12 16:39:01.789130,OBC_0,92.0
2024-02-12 16:39:02.094888,OBC_0,92.0
2024-02-12 16:39:06.742975,OBC_0,122.0
2024-02-12 16:39:07.017184,OBC_0,122.0
2024-02-12 16:39:07.274692,OBC_0,122.0
2024-02-12 16:39:07.556107,OBC_0,122.0
2024-02-12 16:39:13.279046,OBC_0,32.0
2024-02-12 16:39:13.543856,OBC_0,32.0
2024-02-12 16:39:13.827859,OBC_0,32.0
2024-02-12 16:39:14.096429,OBC_0,32.0
2024-02-12 16:39:17.720191,OBC_0,62.0
2024-02-12 16:39:17.990658,OBC_0,62.0
2024-02-12 16:39:18.247391,OBC_0,62.0
2024-02-12 16:39:18.513890,OBC_0,62.0
2024-02-13 10:58:25.085987,OBC_0,32.0
2024-02-13 10:58:26.820020,OBC_0,32.0
2024-02-13 10:58:28.126155,OBC_0,32.0
2024-02-13 10:58:29.797995,OBC_0,32.0
2024-02-13 10:59:33.511353,OBC_0,32.0
2024-02-13 10:59:33.880824,OBC_0,32.0
2024-02-13 11:00:53.791569,OBC_0,62.0
2024-02-13 11:00:54.128665,OBC_0,62.0
2024-02-13 11:00:54.470674,OBC_0,62.0
2024-02-13 11:00:58.631706,OBC_0,62.0
2024-02-13 11:00:58.994977,OBC_0,62.0
2024-02-13 11:00:59.240738,OBC_0,62.0
2024-02-13 11:01:01.775628,OBC_0,32.0
2024-02-13 11:01:02.136057,OBC_0,32.0
2024-02-13 11:01:02.382393,OBC_0,32.0
2024-02-13 11:01:11.022674,OBC_0,62.0
2024-02-13 11:01:11.303957,OBC_0,62.0
2024-02-13 11:01:11.546338,OBC_0,62.0
2024-02-13 11:01:25.483567,OBC_0,152.0
2024-02-13 11:01:25.707100,OBC_0,152.0
2024-02-13 11:01:25.947802,OBC_0,152.0
2024-02-13 11:06:14.120883,OBC_0,62.0
2024-02-13 11:06:14.397336,OBC_0,62.0
2024-02-13 11:06:14.680290,OBC_0,62.0
2024-02-13 11:06:18.319662,OBC_0,32.0
2024-02-13 11:06:18.570938,OBC_0,32.0
2024-02-13 11:06:18.811105,OBC_0,32.0
2024-02-13 11:06:28.224551,OBC_0,92.0
2024-02-13 11:06:28.542150,OBC_0,92.0
2024-02-13 11:06:28.827525,OBC_0,92.0
2024-02-13 11:06:29.132449,OBC_0,92.0
2024-02-13 11:06:35.297073,OBC_0,122.0
2024-02-13 11:06:35.633564,OBC_0,122.0
2024-02-13 11:06:35.996185,OBC_0,122.0
2024-02-13 11:06:36.302377,OBC_0,122.0
2024-02-13 11:06:44.142739,OBC_0,32.0
2024-02-13 11:06:44.517253,OBC_0,32.0
2024-02-13 11:06:44.917186,OBC_0,32.0
2024-02-13 11:06:45.271963,OBC_0,32.0
2024-02-13 11:06:49.921895,OBC_0,62.0
2024-02-13 11:06:50.377453,OBC_0,62.0
2024-02-13 11:06:50.723087,OBC_0,62.0
2024-02-13 11:06:51.076638,OBC_0,62.0
2024-02-13 11:07:15.602647,OBC_0,92.0
2024-02-13 11:07:15.997035,OBC_0,92.0
2024-02-13 11:07:16.245782,OBC_0,92.0
2024-02-13 11:07:16.477237,OBC_0,92.0
2024-02-13 11:07:16.715753,OBC_0,92.0
2024-02-13 11:07:23.461003,OBC_0,122.0
2024-02-13 11:07:23.709264,OBC_0,122.0
2024-02-13 11:07:23.992347,OBC_0,122.0
2024-02-13 11:07:24.354664,OBC_0,122.0
2024-02-13 11:07:24.786641,OBC_0,122.0
2024-02-13 11:11:35.955152,OBC_0,62.0
2024-02-13 11:11:38.367416,OBC_0,122.0
2024-02-14 11:11:40.943231,OBC_0,32.0
2024-02-14 11:11:42.674183,OBC_0,32.0
2024-02-14 11:11:44.126452,OBC_0,32.0
2024-02-14 11:11:45.147186,OBC_0,32.0
2024-02-14 11:12:35.785319,OBC_0,32.0
2024-02-14 11:12:36.026387,OBC_0,32.0
2024-02-14 11:13:47.443195,OBC_0,62.0
2024-02-14 11:13:47.697065,OBC_0,62.0
2024-02-14 11:13:47.950758,OBC_0,62.0
2024-02-14 11:13:52.197555,OBC_0,62.0
2024-02-14 11:13:52.616287,OBC_0,62.0
2024-02-14 11:13:52.998712,OBC_0,62.0
2024-02-14 11:13:55.278614,OBC_0,32.0
2024-02-14 11:13:55.530894,OBC_0,32.0
2024-02-14 11:13:55.796336,OBC_0,32.0
2024-02-14 11:14:04.256022,OBC_0,62.0
2024-02-14 11:14:04.665668,OBC_0,62.0
2024-02-14 11:14:04.991979,OBC_0,62.0
2024-02-14 11:14:20.279896,OBC_0,152.0
2024-02-14 11:14:20.557286,OBC_0,152.0
2024-02-14 11:14:20.887893,OBC_0,152.0
2024-02-14 11:18:44.171713,OBC_0,62.0
2024-02-14 11:18:44.865959,OBC_0,62.0
2024-02-14 11:18:45.500480,OBC_0,62.0
2024-02-14 11:18:50.666690,OBC_0,32.0
2024-02-14 11:18:51.180841,OBC_0,32.0
2024-02-14 11:18:51.728983,OBC_0,32.0
2024-02-14 11:19:10.664957,OBC_0,92.0
2024-02-14 11:19:11.339009,OBC_0,92.0
2024-02-14 11:19:11.731371,OBC_0,92.0
2024-02-14 11:19:12.369629,OBC_0,92.0
2024-02-14 11:19:20.299190,OBC_0,122.0
2024-02-14 11:19:20.667435,OBC_0,122.0
2024-02-14 11:19:21.160961,OBC_0,122.0
2024-02-14 11:19:21.726590,OBC_0,122.0
